	mean_log	std_log	median_log	missing_ratio	n_nonzero
G_89	1.9184258926363729	0.6223506282031451	1.91448043780027	0.5296000000000001	1176
G_90	1.8161722311057495	0.609359876124893	1.812646945121434	0.41679999999999995	1458
G_91	1.459905193892597	0.5182199712298698	1.368215357792333	0.644	890
G_92	1.195460407158292	0.3857301591145136	1.1229948281658721	0.7688	578
G_93	1.3683675238216102	0.45098130247438023	1.307438248055367	0.5840000000000001	1040
G_94	1.8244656265558101	0.5951674513256475	1.8156967260277368	0.43320000000000003	1417
G_95	1.4082111580954093	0.47557601248262865	1.3325158444303005	0.6476	881
G_96	1.1471361270106606	0.3510539116807551	1.0611335695814572	0.7956	511
G_97	1.414589944071382	0.49066172562097254	1.3270970443185852	0.614	965
G_98	3.141434089001365	0.7295899939559389	3.2156175825530235	0.6452	887
G_99	2.191975070560012	0.6736350912250963	2.2076026619833224	0.32599999999999996	1685
G_100	3.1795928629772336	0.7604496115232784	3.1889784072611866	0.6512	872
G_101	1.6322946638431444	0.5366393112853323	1.5992496323655194	0.45920000000000005	1352
G_102	1.5285276261122742	0.5507336271989881	1.4356943511267222	0.5084	1229
G_103	1.4075193932907124	0.47486442347284985	1.3277080000174635	0.5256000000000001	1186
G_104	2.8981724590112425	0.6912853415538778	2.943340702214537	0.4868	1283
G_105	1.2814666150754286	0.41643040565170153	1.214314622201393	0.6504	874
G_106	1.5897655701081272	0.5415787611857525	1.5383662419792443	0.5396000000000001	1151
G_107	1.9980463025521598	0.6592035738244658	1.9865443156343967	0.478	1305
G_108	1.176880359773177	0.3728278319570498	1.0995464939942938	0.7508	623
G_109	1.389859193866013	0.47346500512845985	1.3129229856753994	0.6008	998
G_110	1.3153332168504193	0.4326339759616652	1.242063328887549	0.654	865
G_111	1.5634230745063964	0.5411529199250094	1.496338504864731	0.5536	1116
G_112	1.8905317026362725	0.6074848433444704	1.8877678932664232	0.5496	1126
G_113	1.2868618366512319	0.4200075147852296	1.2141481323675885	0.6972	757
G_114	1.87235750710686	0.6110562559895826	1.879685388008678	0.5116	1221
G_115	1.3007340312738773	0.4234516511222333	1.2425891034184617	0.6248	938
G_116	1.5447013321670866	0.5174559519586317	1.476027067094396	0.5924	1019
G_117	1.499302106137727	0.5115460954297721	1.4337450321175742	0.534	1165
G_118	1.3145132405321347	0.4446387424493651	1.228055755787151	0.7272000000000001	682
G_119	1.1350747425295806	0.3551911348813626	1.0730165039251631	0.8268	433
G_120	1.4401613798555395	0.5055598368701198	1.3628720200380935	0.542	1145
G_121	1.460001050084329	0.4897114644397655	1.3860881491974835	0.604	990
G_122	3.2119410534138306	0.797356389305052	3.251390118818188	0.18359999999999999	2041
G_123	2.4361236908782757	0.7429134781378164	2.438103820723241	0.46199999999999997	1345
G_124	2.43002369230928	0.6993456657274746	2.4617243203963266	0.5711999999999999	1072
G_125	1.3603634781816152	0.4608810406115987	1.2821846725808304	0.5332	1167
G_126	2.555351221118536	0.6939429184086039	2.58891156723466	0.20920000000000005	1977
G_127	2.3117545443686853	0.722818764253582	2.331829890205292	0.4768	1308
G_128	1.732139871624721	0.5982572063393904	1.6995440925746532	0.6048	988
G_129	2.7249304845436306	0.7099420079674752	2.7624353424505417	0.46319999999999995	1342
G_130	1.8391839646527635	0.6118218433027375	1.813976354754614	0.48240000000000005	1294
G_131	1.9365301333124396	0.6666653706488715	1.9189230879397032	0.2912	1772
G_132	1.6009851530125174	0.542625136791027	1.5424353495198972	0.4776	1306
G_133	1.3207911633597373	0.4610252260507431	1.231739068703661	0.5904	1024
G_134	2.4474403261223934	0.7247326227069245	2.4975706727969103	0.5067999999999999	1233
G_135	1.1826128546932717	0.3654080421566281	1.119889888245325	0.752	620
G_136	1.8010611454552745	0.5691569933676199	1.8069190569667777	0.48240000000000005	1294
G_137	1.211259556105918	0.374857279395552	1.1480136862333288	0.7243999999999999	689
G_138	1.6633577594225415	0.5621071505532431	1.6328841183335492	0.3548	1613
G_139	1.221085086387996	0.39854767892563414	1.1354593312269405	0.7208	698
G_140	2.1369156561704736	0.6482361776024425	2.136136885356381	0.398	1505
G_141	1.3934399790688659	0.4654528091147816	1.3467606544657829	0.5611999999999999	1097
G_142	1.3821675201140253	0.4835349728067901	1.291195129528562	0.6788000000000001	803
G_143	1.3185157308720556	0.45789724826319766	1.2402272722852767	0.598	1005
G_144	1.3204766383529887	0.4425039727956202	1.2444329839550443	0.7396	651
G_145	1.3169604763703553	0.4556329659090665	1.223253330305952	0.6295999999999999	926
G_146	2.488355580480183	0.7622784652248205	2.502317721213641	0.3268	1683
G_147	1.6563817093545843	0.5436036902556315	1.6335475679864335	0.5831999999999999	1042
G_148	1.2257567749218337	0.3790319062730063	1.1480140194062756	0.6639999999999999	840
G_149	2.438730751375423	0.6860964875659317	2.4643607858827004	0.40959999999999996	1476
G_150	1.7479357431315399	0.6066070189788138	1.726205902307361	0.42079999999999995	1448
G_151	2.046805909068266	0.6306773394228822	2.048073985889948	0.4236	1441
G_152	2.2063343723373126	0.6975146189527436	2.2195779190636933	0.45799999999999996	1355
G_153	1.1850784441872146	0.36661915233866793	1.1361045758456672	0.7548	613
G_154	1.3446660616248671	0.45330107452933827	1.276660057955822	0.7188	703
G_155	1.6665699835798193	0.5746529694476251	1.6163536249314236	0.5196000000000001	1201
G_156	2.8238747423555206	0.7633353771615305	2.847009639622407	0.39080000000000004	1523
G_157	2.252250275643468	0.7057864335548889	2.2679817544892416	0.4192	1452
G_158	1.1285198550923023	0.33083402681709906	1.0521958194997862	0.7972	507
G_159	1.0958645025348228	0.31355870578082645	1.0253062797632977	0.7736000000000001	566
G_160	2.5898640914241704	0.7426322052422725	2.6193096458646	0.3116	1721
G_161	1.6439285430730903	0.5648910218937442	1.5972305554198714	0.4796	1301
G_162	2.2317769380067523	0.6912586445090183	2.2447176999332625	0.23199999999999998	1920
G_163	2.3489329689369605	0.721564749972568	2.3707666789373643	0.4244	1439
G_164	1.0478787294110654	0.2911569673432218	0.9890276815507214	0.8632	342
G_165	2.1247715006520207	0.6678171487470352	2.129178420388344	0.3064	1734
G_166	1.5489776460904487	0.5367165120444044	1.4958667734951665	0.5756	1061
G_167	1.5558594430062955	0.5363457694320395	1.5061613597854415	0.526	1185
G_168	3.1625443521887138	0.7616016053356708	3.1852442204332583	0.6392	902
G_169	1.5881037784278902	0.5246982179907418	1.5459729340345079	0.4528	1368
G_170	1.3326315172381293	0.446736996413046	1.2686113487365822	0.696	760
G_171	1.1459936228770937	0.35949092584584263	1.0479685558493548	0.8012	497
G_172	2.8668509147135106	0.767428154067631	2.895742858314871	0.3288	1678
G_173	2.002639252099893	0.6240592288786629	2.039495055353989	0.34119999999999995	1647
G_174	1.1982390745816327	0.3884869578729843	1.131388642301848	0.7616	596
G_175	1.71142306673275	0.5836890414734308	1.6679680460451543	0.46640000000000004	1334
G_176	1.81131448338282	0.5923415533901434	1.794751922465044	0.4224	1444
G_177	1.0307777006020693	0.2908842342334559	0.9791141048481378	0.8160000000000001	460
G_178	1.8360524560268339	0.5999325213976227	1.8195844701645212	0.49239999999999995	1269
G_179	1.344540245972021	0.478317085581059	1.2492030073715963	0.6184000000000001	954
G_180	2.273548149229299	0.6978309893886201	2.3179185006513974	0.3536	1616
G_181	1.3442268475289518	0.4631198119227734	1.2597712093667313	0.6164000000000001	959
G_182	1.5370883306531864	0.5303720247682793	1.4755717929233017	0.5888	1028
G_183	1.0089564210463444	0.2688205036389379	0.9593681105822702	0.8835999999999999	291
G_184	1.2194329079730453	0.3960068616548642	1.1506649979468155	0.7196	701
G_185	1.223939596295809	0.37783056457560166	1.1522919351258962	0.8348	413
G_186	2.9353210240147267	0.7206396721742014	2.9844821774996335	0.272	1820
G_187	1.4473030639055993	0.4918029324444162	1.372467895396113	0.5344	1164
G_188	1.6561006065701385	0.5641002102897488	1.5844215622157074	0.5548	1113
G_189	1.242479640946694	0.4124255710420823	1.1685409133815094	0.6896	776
G_190	1.292950190588511	0.41039231581669483	1.2118229868355743	0.8028	493
G_191	1.6038230634928892	0.529819447137605	1.5656630715805644	0.38480000000000003	1538
G_192	3.4674930773280144	0.762539642925466	3.4930258905186644	0.40800000000000003	1480
G_193	1.3148134973239598	0.4227128042507873	1.24241375479555	0.7183999999999999	704
G_194	2.7531641272058223	0.7815455407614311	2.7784204671283126	0.4256	1436
G_195	2.5664568346263392	0.751070125933713	2.57615193424259	0.376	1560
G_196	1.6286447897076817	0.5327380036602888	1.5914435826977773	0.5571999999999999	1107
G_197	1.991730759799868	0.6395739984947539	1.9850534921071032	0.5367999999999999	1158
G_198	2.2835384396104663	0.6831195558227904	2.292051243768451	0.6228	943
G_199	1.2758624216892016	0.4314715197945019	1.1810662453740577	0.7256	686
G_200	1.4882637926318807	0.5127049134301088	1.4242099278660003	0.5172	1207
G_201	1.2721438805322043	0.4181581203056575	1.194857224004283	0.6108	973
G_202	1.4475275106989784	0.4967021486693922	1.3764753071644207	0.6719999999999999	820
G_203	1.924898328316724	0.6281757058136832	1.9421993493220604	0.5287999999999999	1178
G_204	3.3126689362571575	0.794647128408119	3.352050048956737	0.44320000000000004	1392
G_205	2.081642717744147	0.6832688128844135	2.0892417797265894	0.2944	1764
G_206	1.9037076311500425	0.6544928181124023	1.8687522500793856	0.5184	1204
G_207	1.0266348223959176	0.28474793035087714	0.9601633642878832	0.898	255
G_208	2.450320761463913	0.7178415100986983	2.480497580058394	0.48160000000000003	1296
G_209	1.28442767765636	0.4241052731820237	1.2205941515377314	0.7096	726
G_210	1.987791005375017	0.641316539378608	1.9959661247700349	0.5336000000000001	1166
G_211	1.9814191486012058	0.643195510882133	1.9682553422436502	0.33999999999999997	1650
G_212	2.5761923511196505	0.6955289107166827	2.626153924779351	0.3932	1517
G_213	1.4598459016511744	0.5050396761163665	1.3994497129538463	0.6392	902
G_214	1.7952839601942239	0.604257000098582	1.7521058005072865	0.4808	1298
G_215	1.6495965902407377	0.5590079697910268	1.6034650053144617	0.48560000000000003	1286
G_216	1.45512523207702	0.4883824533833979	1.4046274835407604	0.5136000000000001	1216
G_217	2.196259849489914	0.6678647126732605	2.201621901099448	0.45120000000000005	1372
G_218	1.450644343236343	0.4819610641236486	1.3842727718621115	0.5876	1031
G_219	1.4969259150421004	0.5080262968951778	1.4414564126099003	0.502	1245
G_220	1.972821140465017	0.6472914993175496	1.9689751240078466	0.5272	1182
G_221	2.313522820633428	0.6764746796369062	2.33109134706021	0.2512	1872
G_222	0.9770137733639217	0.23265247599740313	0.944330675943774	0.9428	143
G_223	1.6210054909252019	0.5527310623739651	1.5544299983579233	0.5224	1194
G_224	1.5188882196351698	0.49446157109611066	1.4943496039491753	0.7192000000000001	702
G_225	3.96467080995702	0.793410473719813	3.975604654270356	0.39	1525
G_226	0.9181764355751858	0.2119709938634617	0.8641010562043252	0.9788	53
G_227	1.6908515060865832	0.6089642205835353	1.6579785192293344	0.5084	1229
G_228	1.723135823803354	0.5823982717060557	1.6944445664233547	0.3992	1502
G_229	1.4120067201191926	0.4655789039266613	1.3395959006066203	0.6304000000000001	924
G_230	2.488514509404149	0.7583243837125391	2.5067553001804908	0.3792	1552
G_231	1.7257093584704595	0.6098646896426444	1.6566043104851036	0.40080000000000005	1498
G_232	1.5480808246593234	0.5113477964843216	1.4807110126242693	0.5032	1242
G_233	1.0407297240220006	0.26807335010543804	1.012915530467615	0.904	240
G_234	1.7852234687301416	0.602642377188309	1.766986978012706	0.46040000000000003	1349
G_235	1.8659392607059724	0.6062559541270526	1.8389740801309882	0.39759999999999995	1506
G_236	2.6479614068805013	0.7358726470015109	2.671327574357993	0.3184	1704
G_237	1.6709662569711448	0.5650469910498268	1.6546905721260334	0.5004	1249
G_238	2.8600717179659583	0.7824987921722646	2.8571203240154626	0.49039999999999995	1274
G_239	3.1155548688127914	0.7460837752178981	3.1289495236143936	0.5452	1137
G_240	1.2860889252333099	0.418596868886397	1.2163161634299338	0.5892	1027
G_241	2.3592051954020072	0.6799209448430444	2.3939651631385046	0.22519999999999996	1937
G_242	1.1513472737386485	0.351514233260869	1.0933732068447157	0.8624	344
G_243	1.1455221080887408	0.34948999280257503	1.083287607612016	0.804	490
G_244	2.0665093691761003	0.6716905441590506	2.0686665919808545	0.3788	1553
G_245	1.9701811691374687	0.6561149033696205	1.9676503213410177	0.40080000000000005	1498
G_246	1.5345646551338494	0.5322154168404803	1.4760921756271566	0.5552	1112
G_247	1.2198068013428311	0.3918152317567219	1.1477199310391852	0.7548	613
G_248	1.1166916971417487	0.36028396201248103	1.0302047786585746	0.8348	413
G_249	1.7056169473889364	0.5625562851724909	1.6765134213452844	0.6708000000000001	823
G_250	1.3360127495228444	0.43380729336345886	1.2707753324872488	0.604	990
G_251	2.1079360028615075	0.6649940937835065	2.103558366144324	0.37160000000000004	1571
G_252	2.146044139355187	0.6292800431053674	2.1861373825071007	0.5436000000000001	1141
G_253	1.1725188530268196	0.35361592599538577	1.0892343306246572	0.8196	451
G_254	1.4413319885710507	0.5146466017086441	1.3542823711778773	0.5888	1028
G_255	1.291208559811862	0.4466648629439301	1.2169111449937309	0.7176	706
G_256	1.505325361529686	0.5213347363157541	1.4412718334194938	0.6376	906
G_257	1.3672875342072377	0.4651139424573138	1.291195129528562	0.7132000000000001	717
G_258	1.1845179922267706	0.36423906244965365	1.1329557548931275	0.7036	741
G_259	1.2011541184862475	0.39116812557842345	1.1313885632831897	0.6676	831
G_260	1.1929802628406283	0.3706104680228225	1.1186425618365115	0.72	700
G_261	1.4278359263898102	0.49771822957780404	1.3398548705081923	0.5820000000000001	1045
G_262	1.0077155875036945	0.27291593214272414	0.9558071025259238	0.9176	206
G_263	1.2839681635819016	0.41640097831890477	1.210664148186561	0.5948	1013
G_264	2.1181287618983844	0.6658909012139294	2.1271576769937455	0.35960000000000003	1601
G_265	1.752671702711606	0.6153713651753618	1.7261426147810328	0.5307999999999999	1173
G_266	1.309312718569775	0.4340073532676248	1.2547755365397837	0.6812	797
G_267	1.0309713403338097	0.27539559901715116	0.9893458486644108	0.7772	557
G_268	2.945814405448665	0.7862345812949201	2.9660505461335713	0.6184000000000001	954
G_269	1.9725927559247334	0.6260476638857811	1.9781333432269577	0.5644	1089
G_270	2.249315793059688	0.6890981964146938	2.240316593462727	0.6332	917
G_271	1.5510980220860349	0.5419593181629805	1.4655683110679896	0.6124	969
G_272	1.5355285757860389	0.5373400709763703	1.4743366985719817	0.6404000000000001	899
G_273	1.1629931163108091	0.36040987454529333	1.0854550385854522	0.792	520
G_274	1.0791764737590506	0.3129705123656028	1.0273179562733925	0.8016	496
G_275	1.4475117655180503	0.486731680709324	1.3738985816903282	0.5476	1131
G_276	1.695106611219504	0.5701398393630557	1.6682587417447567	0.38959999999999995	1526
G_277	1.5001537727357648	0.5115450632431519	1.4335626027661408	0.49119999999999997	1272
G_278	1.2388890619245976	0.4099888653727556	1.1402853102020174	0.6968	758
G_279	1.1740183858096138	0.3805790440650739	1.0943637427130248	0.654	865
G_280	1.5505213038072148	0.5405287984364584	1.4938103389966455	0.49360000000000004	1266
G_281	1.757602324864411	0.6216536992273757	1.7258895335313005	0.6084	979
G_282	1.3735219715812519	0.4797452139329167	1.2883830416046482	0.6608	848
G_283	1.1557232171101732	0.3691455310523994	1.0833184874798971	0.7168	708
G_284	1.9972506738443818	0.6548436522577062	1.9872774475066353	0.3448	1638
G_285	1.6737564292222027	0.5713538431367648	1.658580663268163	0.384	1540
G_286	1.0774231837707855	0.30361598981897375	1.02714459607221	0.8344	414
G_287	1.1712410848177075	0.3642098661138016	1.0937695366428035	0.6512	872
G_288	2.286625492455097	0.6958301904243155	2.2913322128520273	0.3416	1646
G_289	1.4407262408082617	0.5002988442894558	1.36601716868074	0.6492	877
G_290	1.094877424112829	0.32093979848178017	1.0411054563926982	0.8408	398
G_291	1.5092712113698812	0.503320718323516	1.450055834540452	0.5468	1133
G_292	1.647034438545807	0.5620940028623731	1.6035440639840866	0.558	1105
G_293	1.7452873310953503	0.6090640322505254	1.6890549398052253	0.46120000000000005	1347
G_294	1.3171231805742911	0.44093860634890364	1.2372675182925017	0.5556	1111
G_295	1.3004684875005155	0.41055857985161653	1.2489813800663139	0.7208	698
G_296	1.4859377425054447	0.524937387492011	1.3854699278710203	0.5916	1021
G_297	1.7639629461777717	0.6194200536017455	1.7194668056274858	0.5187999999999999	1203
G_298	1.570914954088024	0.5527804407788212	1.5148230196055466	0.45320000000000005	1367
G_299	2.2847403293334736	0.7122787464959981	2.289562959494715	0.35840000000000005	1604
G_300	1.0327905703845852	0.28361218609984623	0.9888155087325184	0.926	185
G_301	1.212128149871554	0.3781629845787103	1.1447915075168258	0.7452	637
G_302	1.5120525492532089	0.5135812764236646	1.4313574291698723	0.5196000000000001	1201
G_303	1.653501385033951	0.5715759378952512	1.6068855634365087	0.596	1010
G_304	2.5575123718569053	0.7728921946336716	2.5756124318537856	0.472	1320
G_305	1.7015640331215485	0.5693603433446665	1.6691321978334552	0.46319999999999995	1342
G_306	1.3631395481998352	0.4337741461904626	1.2893815562220343	0.6364000000000001	909
G_307	1.0263022095588918	0.27036917190392584	0.9933966106506906	0.8596	351
G_308	1.4717193016763719	0.4853162299589602	1.4189629518698355	0.5584	1104
G_309	1.4493545890304897	0.512517101041076	1.370821166977591	0.6516	871
G_310	2.1334706923316515	0.6306861771966006	2.144658103852546	0.35440000000000005	1614
G_311	1.387393634682056	0.4604457438841752	1.318912006482732	0.5492	1127
G_312	1.402753107645299	0.4742569249321903	1.3084714850325885	0.5452	1137
G_313	1.179714342988967	0.36475016455713477	1.1129827822719291	0.6792	802
G_314	1.1975643466904047	0.3597270605774897	1.1335268326996228	0.6676	831
G_315	1.6314411501033526	0.556811114435928	1.5837029287233872	0.6235999999999999	941
G_316	1.395847261773246	0.4623541815714944	1.3018097718397212	0.7636000000000001	591
G_317	1.2102408628428891	0.36569353662690884	1.1462902666313997	0.7592	602
G_318	1.2197400983193265	0.39461241135284075	1.1678537165341227	0.7048	738
G_319	1.5253365274975192	0.5294518881113265	1.4508894845236953	0.5087999999999999	1228
G_320	1.4605757906231254	0.4808494696960796	1.4052264569069224	0.406	1485
G_321	1.9385583941385456	0.6287650589332235	1.935018664867349	0.28400000000000003	1790
G_322	1.1306130527990905	0.3470748728197607	1.0664763448627124	0.7444	639
G_323	1.7972694375263656	0.6087515335226328	1.7646100841824366	0.48719999999999997	1282
G_324	2.2885754227452875	0.7028024766084071	2.3104756366831922	0.45999999999999996	1350
G_325	1.3400777886221171	0.44762913173977337	1.2585068388679632	0.8008	498
G_326	1.3065791657375487	0.4210719635655688	1.2337194542412913	0.6084	979
G_327	2.1587678193728963	0.6975161712320189	2.137094017342882	0.5704	1074
G_328	0.9679049970485859	0.23606316994248477	0.9433716904768258	0.9252	187
G_329	1.403580168602332	0.4711790392257278	1.3192134152242496	0.5711999999999999	1072
G_330	1.2663382126012372	0.4311164085349446	1.1975970617223353	0.7343999999999999	664
G_331	2.9416539586687653	0.7334480043241084	2.9807084335326417	0.45120000000000005	1372
G_332	2.425499206028665	0.6899703542274258	2.452358600047408	0.542	1145
G_333	2.1081896106339606	0.625665245668404	2.1343250358328483	0.5936	1016
G_334	1.9700767965152894	0.6305797108021588	1.977105258841502	0.5092	1227
G_335	1.9237603060221171	0.6051845048920952	1.9450621043281409	0.5024	1244
G_336	2.288369559318017	0.7139140860097093	2.3021834105014825	0.49760000000000004	1256
G_337	1.8759224804163637	0.6549466144068252	1.8485264306009423	0.5124	1219
G_338	1.906839795150627	0.6348236167846291	1.90253727797734	0.402	1495
G_339	1.300377354983272	0.4190788569584313	1.2375280339565935	0.5988	1003
G_340	1.13350919509031	0.3443110620976594	1.0622469813635205	0.7656000000000001	586
G_341	1.1165358624631618	0.33395184765296254	1.0321202886327214	0.8468	383
G_342	1.7818231844286276	0.6267398346009003	1.736855661787214	0.39239999999999997	1519
G_343	1.6164914610973946	0.5578823767456198	1.5844729231518675	0.562	1095
G_344	2.0291318103014206	0.7090741630461993	2.004741157344447	0.6848000000000001	788
G_345	1.1183219777944575	0.3357264239590915	1.0500189962180968	0.844	390
G_346	2.186322908469968	0.6340099456283823	2.2338092651958705	0.48560000000000003	1286
G_347	1.3522222759409241	0.44951343458345366	1.286150598752292	0.6044	989
G_348	1.1032913078910114	0.3122396083169602	1.0447327259485346	0.8251999999999999	437
G_349	2.110653074937218	0.6721319930335773	2.1063851928083785	0.38439999999999996	1539
G_350	1.4129949983968253	0.4802831179396288	1.336122143082939	0.6468	883
G_351	1.1630946975533163	0.3523140917724498	1.0983456930920172	0.7292000000000001	677
G_352	1.8064504795802276	0.6115080049071052	1.774674185060758	0.3456	1636
G_353	1.8171230269051681	0.6274005969520223	1.8047941742342448	0.5844	1039
G_354	1.3343460437346726	0.45656175586110237	1.2699907043942789	0.6916	771
G_355	1.757847833821974	0.6611355620193597	1.7181696051572424	0.48560000000000003	1286
